nomProduitAdjusted,marque,prixProduitAdjusted,lienAchat,revendeur
  Dailies AquaComfort Plus Multifocal (30)  ,Dailies,"29,10",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-aquacomfort-plus-multifocal-30.html,LentillesMoinsCheres
  Dailies All Day Comfort 30  ,Dailies,"14,90",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-all-day-comfort-30.html,LentillesMoinsCheres
  Dailies All Day Comfort 90  ,Dailies,"37,20",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-all-day-comfort-90.html,LentillesMoinsCheres
  Proclear (6)  ,Proclear,"15,00",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-proclear-6.html,LentillesMoinsCheres
  Proclear 1 Day (30)  ,Proclear,"15,80",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-proclear-1-day-30.html,LentillesMoinsCheres
  Proclear 1 Day (90)  ,Proclear,"43,40",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-proclear-1-day-90.html,LentillesMoinsCheres
  Proclear Multifocal (6)  ,Proclear,"40,60",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-proclear-multifocal-6.html,LentillesMoinsCheres
  Proclear Multifocal Toric (6)  ,Proclear,"98,90",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-proclear-multifocal-toric-6.html,LentillesMoinsCheres
  Proclear XR multifocal (6)  ,Proclear,"76,20",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-proclear-xr-multifocal-6.html,LentillesMoinsCheres
  Proclear Toric  ,Proclear,"33,90",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-proclear-toric.html,LentillesMoinsCheres
  Proclear Toric XR  ,Proclear,"74,60",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-proclear-toric-xr.html,LentillesMoinsCheres
  Biomedics 1 Day Extra 30  ,Biomedics,"14,50",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-biomedics-1-day-extra-30.html,LentillesMoinsCheres
  Biomedics 1 Day Extra 90  ,Biomedics,"39,00",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-biomedics-1-day-extra-90.html,LentillesMoinsCheres
  Proclear 1 Day Multifocal (30)  ,Proclear,"27,90",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-proclear-1-day-multifocal-30.html,LentillesMoinsCheres
