nom_Produit,marque,LMC30
  Dailies AquaComfort Plus (180)  ,Dailies,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-aquacomfort-plus-180.html"" rel=""noopener noreferrer"" target=""_blank"">75,80</a>"
  Dailies AquaComfort Plus (90)  ,Dailies,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-aquacomfort-plus-90.html"" rel=""noopener noreferrer"" target=""_blank"">38,20</a>"
  Dailies AquaComfort Plus Multifocal  ,Dailies,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-aquacomfort-plus-multifocal-30.html"" rel=""noopener noreferrer"" target=""_blank"">29,10</a>"
  Dailies AquaComfort Plus Toric  ,Dailies,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-aquacomfort-plus-toric-30.html"" rel=""noopener noreferrer"" target=""_blank"">23,90</a>"
  Dailies AquaComfort Plus Toric (90)  ,Dailies,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-aquacomfort-plus-toric-90.html"" rel=""noopener noreferrer"" target=""_blank"">65,30</a>"
  Dailies TOTAL 1 Multifocal  ,Dailies,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-total-1-multifocal-30.html"" rel=""noopener noreferrer"" target=""_blank"">37,20</a>"
  Dailies TOTAL 1 Multifocal (90)  ,Dailies,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-total-1-multifocal-90.html"" rel=""noopener noreferrer"" target=""_blank"">05,50</a>"
  Proclear 1 Day  ,Proclear,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-proclear-1-day-30.html"" rel=""noopener noreferrer"" target=""_blank"">15,80</a>"
  Proclear 1 Day (90)  ,Proclear,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-proclear-1-day-90.html"" rel=""noopener noreferrer"" target=""_blank"">43,40</a>"
  SofLens daily disposable  ,Soflens,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-soflens-daily-disposable-30.html"" rel=""noopener noreferrer"" target=""_blank"">14,40</a>"
  SofLens daily disposable 90  ,Soflens,"<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-soflens-daily-disposable-90.html"" rel=""noopener noreferrer"" target=""_blank"">31,40</a>"
